iter	Passed	Remaining
0	168	168736
1	184	92054
2	201	66818
3	217	54076
4	233	46412
5	249	41415
6	266	37773
7	283	35188
8	302	33265
9	321	31839
10	340	30649
11	359	29611
12	376	28615
13	397	28019
14	426	27995
15	448	27570
16	471	27243
17	488	26666
18	507	26212
19	526	25784
20	545	25415
21	563	25065
22	583	24798
23	603	24541
24	624	24342
25	649	24339
26	681	24571
27	713	24778
28	760	25460
29	785	25398
30	810	25330
31	835	25259
32	858	25144
33	888	25247
34	916	25272
35	940	25178
36	962	25051
37	988	25022
38	1014	24989
39	1037	24888
40	1056	24720
41	1077	24569
42	1097	24429
43	1116	24258
44	1137	24130
45	1157	24011
46	1181	23951
47	1201	23837
48	1228	23845
49	1255	23854
50	1288	23968
51	1311	23914
52	1329	23758
53	1347	23605
54	1366	23474
55	1385	23352
56	1403	23221
57	1422	23096
58	1439	22965
59	1457	22838
60	1474	22700
61	1492	22579
62	1511	22484
63	1531	22400
64	1550	22303
65	1568	22196
66	1585	22076
67	1603	21973
68	1620	21868
69	1638	21765
70	1656	21673
71	1678	21631
72	1702	21622
73	1723	21564
74	1746	21535
75	1768	21501
76	1787	21421
77	1805	21346
78	1824	21266
79	1842	21189
80	1860	21110
81	1879	21044
82	1898	20974
83	1919	20926
84	1937	20858
85	1954	20773
86	1970	20684
87	1987	20598
88	2003	20508
89	2022	20453
90	2039	20369
91	2055	20285
92	2072	20212
93	2089	20135
94	2104	20048
95	2120	19967
96	2136	19886
97	2151	19800
98	2167	19722
99	2182	19645
100	2199	19579
101	2215	19502
102	2230	19429
103	2246	19352
104	2262	19281
105	2281	19242
106	2300	19196
107	2317	19140
108	2333	19070
109	2348	18998
110	2365	18944
111	2380	18874
112	2395	18804
113	2410	18735
114	2427	18683
115	2443	18619
116	2459	18564
117	2475	18502
118	2491	18448
119	2508	18392
120	2524	18337
121	2539	18277
122	2554	18215
123	2569	18153
124	2585	18095
125	2601	18043
126	2616	17986
127	2632	17931
128	2647	17878
129	2663	17826
130	2678	17768
131	2693	17710
132	2708	17659
133	2724	17609
134	2739	17555
135	2755	17507
136	2770	17452
137	2785	17396
138	2799	17342
139	2815	17292
140	2831	17249
141	2846	17201
142	2864	17164
143	2884	17147
144	2903	17120
145	2928	17126
146	2946	17097
147	2966	17075
148	2987	17062
149	3015	17086
150	3038	17086
151	3056	17054
152	3078	17040
153	3100	17032
154	3121	17019
155	3144	17014
156	3164	16993
157	3186	16980
158	3205	16953
159	3221	16915
160	3239	16879
161	3255	16840
162	3272	16802
163	3290	16773
164	3311	16757
165	3332	16744
166	3353	16728
167	3374	16710
168	3395	16694
169	3417	16686
170	3435	16656
171	3456	16640
172	3479	16635
173	3498	16609
174	3520	16596
175	3538	16565
176	3554	16526
177	3570	16490
178	3587	16452
179	3604	16420
180	3620	16383
181	3636	16345
182	3652	16308
183	3669	16274
184	3687	16245
185	3703	16206
186	3718	16168
187	3734	16127
188	3753	16104
189	3779	16111
190	3799	16094
191	3819	16073
192	3844	16074
193	3861	16044
194	3882	16029
195	3904	16017
196	3925	16000
197	3945	15982
198	3967	15970
199	3987	15950
200	4006	15926
201	4023	15894
202	4040	15863
203	4057	15834
204	4074	15802
205	4091	15771
206	4108	15739
207	4124	15703
208	4141	15674
209	4159	15648
210	4176	15617
211	4194	15590
212	4218	15588
213	4246	15595
214	4266	15575
215	4286	15559
216	4305	15536
217	4330	15534
218	4350	15515
219	4368	15489
220	4385	15459
221	4402	15427
222	4419	15397
223	4436	15367
224	4451	15334
225	4467	15300
226	4483	15266
227	4497	15227
228	4512	15193
229	4529	15163
230	4549	15145
231	4574	15144
232	4596	15131
233	4618	15119
234	4639	15101
235	4661	15091
236	4684	15081
237	4711	15086
238	4738	15086
239	4755	15057
240	4771	15028
241	4789	15000
242	4805	14971
243	4822	14941
244	4840	14916
245	4859	14895
246	4876	14866
247	4893	14838
248	4908	14805
249	4927	14782
250	4945	14756
251	4964	14736
252	4984	14715
253	5005	14701
254	5027	14687
255	5047	14668
256	5069	14655
257	5088	14635
258	5109	14618
259	5130	14603
260	5156	14600
261	5176	14581
262	5195	14558
263	5215	14538
264	5235	14521
265	5253	14496
266	5272	14474
267	5291	14452
268	5307	14422
269	5324	14395
270	5348	14386
271	5364	14357
272	5381	14331
273	5400	14308
274	5419	14286
275	5438	14264
276	5454	14237
277	5469	14205
278	5485	14174
279	5500	14144
280	5517	14116
281	5532	14085
282	5547	14056
283	5564	14029
284	5580	14000
285	5597	13973
286	5613	13944
287	5628	13915
288	5644	13885
289	5659	13857
290	5676	13829
291	5691	13801
292	5707	13772
293	5724	13745
294	5740	13718
295	5756	13690
296	5772	13663
297	5788	13635
298	5803	13607
299	5818	13576
300	5833	13546
301	5848	13516
302	5864	13490
