EmployeeID,Age,Gender,MaritalStatus,EducationLevel,EducationField,Department,JobRole,JobLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,PercentSalaryHike,BonusPercent,StockOptionLevel,PerformanceRating,TrainingTimesLastYear,CertificationCount,AbsenceDays,LateMarks,OvertimeHours,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,EmployeeEngagementScore,ManagerRating,TeamSize,ProjectsHandled,AverageMonthlyHours,PerformanceTrend3Months,PerformanceTrend6Months,SalaryGrowthLast3Years,Attrition,IncomePerYearExperience,PromotionGapRatio,StressIndex,OverallSatisfaction,CareerGrowthScore,EmployeeRiskScore
1.0,56.0,1,2,1,4,2,3,4.0,1.0,0.0,1.0,0.0,2.0,119881.0,8.0,16.0,2.0,4.0,10.0,6.0,25.0,15.0,40.0,3.0,1.0,3.0,1.0,23.0,5.0,23.0,16.0,259.0,0.7406359316246103,0.7192573280171047,15.0,0.0,59940.5,0.0,1000.0,2.0,24.0,12.5
2.0,46.0,0,2,0,2,1,0,2.0,9.0,1.0,4.0,4.0,5.0,136222.0,19.0,2.0,1.0,1.0,0.0,3.0,3.0,6.0,50.0,3.0,1.0,4.0,4.0,53.0,3.0,8.0,15.0,133.0,1.8574996771781007,-0.1987294015603459,5.0,1.0,13622.2,2.0,150.0,3.0,22.0,7.8
3.0,32.0,1,1,2,3,0,2,3.0,30.0,1.0,8.0,7.0,4.0,110515.0,18.0,32.0,3.0,1.0,4.0,1.0,2.0,19.0,53.0,2.0,3.0,4.0,5.0,26.0,4.0,4.0,18.0,146.0,-0.4673472344635087,0.7134268680549329,21.0,0.0,3565.0,3.5,106.0,3.5,23.0,7.85
4.0,25.0,1,2,0,4,2,2,5.0,7.0,8.0,8.0,7.0,2.0,134358.0,21.0,34.0,2.0,4.0,8.0,14.0,27.0,3.0,61.0,1.0,4.0,4.0,5.0,42.0,2.0,24.0,4.0,243.0,-0.1128539427220973,1.2512705966877808,53.0,0.0,16794.75,0.7777777777777778,1647.0,3.5,43.0,11.75
5.0,38.0,0,2,2,3,4,4,3.0,38.0,0.0,7.0,8.0,1.0,180847.0,9.0,29.0,1.0,4.0,4.0,17.0,9.0,13.0,82.0,1.0,1.0,3.0,5.0,93.0,3.0,15.0,13.0,313.0,-1.4297882731802378,-0.6443138022945785,14.0,0.0,4637.102564102564,8.0,738.0,2.5,30.0,11.0
6.0,56.0,0,2,1,0,2,1,3.0,27.0,10.0,4.0,4.0,2.0,183034.0,17.0,39.0,3.0,4.0,7.0,3.0,13.0,5.0,25.0,1.0,5.0,5.0,1.0,68.0,3.0,3.0,17.0,182.0,1.6092909186771818,0.022297186737166,11.0,1.0,6536.928571428572,0.36363636363636365,325.0,3.0,27.0,12.55
7.0,36.0,0,2,2,4,2,0,1.0,30.0,6.0,6.0,7.0,13.0,140283.0,11.0,11.0,1.0,4.0,4.0,0.0,21.0,2.0,46.0,5.0,1.0,2.0,2.0,56.0,4.0,15.0,11.0,203.0,0.7906982212672042,1.2326999509407028,43.0,1.0,4525.258064516129,1.0,966.0,2.5,15.0,9.399999999999999
8.0,40.0,1,1,3,1,1,3,2.0,12.0,5.0,0.0,9.0,9.0,88347.0,5.0,33.0,3.0,2.0,4.0,15.0,10.0,6.0,90.0,2.0,1.0,4.0,5.0,85.0,3.0,6.0,11.0,230.0,-0.0895878208017061,0.7577034111466636,31.0,0.0,6795.923076923077,1.5,900.0,3.0,24.0,10.5
9.0,28.0,1,2,1,0,0,4,5.0,6.0,16.0,3.0,4.0,3.0,88364.0,17.0,6.0,0.0,4.0,9.0,6.0,22.0,9.0,78.0,2.0,1.0,3.0,4.0,79.0,3.0,13.0,19.0,214.0,-1.065504440864999,0.098352364474557,26.0,0.0,12623.42857142857,0.23529411764705882,1716.0,2.5,32.0,12.1
10.0,28.0,0,1,3,0,4,2,5.0,0.0,5.0,6.0,6.0,8.0,43008.0,8.0,28.0,1.0,5.0,10.0,15.0,14.0,19.0,62.0,3.0,3.0,5.0,4.0,92.0,2.0,21.0,10.0,128.0,0.4399267737679286,1.1427594293729693,37.0,0.0,43008.0,1.0,868.0,3.75,33.0,9.5
11.0,41.0,1,1,0,5,0,3,5.0,25.0,15.0,2.0,7.0,5.0,142960.0,17.0,23.0,0.0,5.0,6.0,12.0,1.0,4.0,18.0,2.0,2.0,2.0,5.0,33.0,4.0,5.0,13.0,144.0,-2.539409463443932,0.1417494060964297,50.0,0.0,5498.461538461538,0.4375,18.0,2.75,35.0,6.0
12.0,53.0,1,0,2,2,0,4,4.0,15.0,0.0,3.0,7.0,14.0,125135.0,17.0,30.0,0.0,2.0,2.0,12.0,4.0,1.0,31.0,1.0,3.0,2.0,4.0,10.0,1.0,7.0,13.0,284.0,0.6601237342704803,0.1153818951809007,23.0,0.0,7820.9375,7.0,124.0,2.5,31.0,8.950000000000001
13.0,57.0,1,2,0,0,4,4,2.0,11.0,3.0,0.0,1.0,5.0,113295.0,29.0,1.0,1.0,3.0,7.0,18.0,18.0,7.0,99.0,5.0,5.0,2.0,5.0,72.0,1.0,14.0,15.0,296.0,0.1029639499834199,0.9699456348473878,15.0,0.0,9441.25,0.25,1782.0,4.25,54.0,8.75
14.0,41.0,0,2,0,4,4,1,1.0,15.0,17.0,7.0,0.0,0.0,36596.0,7.0,10.0,0.0,2.0,13.0,11.0,2.0,14.0,85.0,5.0,1.0,2.0,3.0,1.0,2.0,24.0,8.0,263.0,-1.2837643054244086,0.6242761324319059,57.0,0.0,2287.25,0.0,170.0,2.75,31.0,8.45
15.0,20.0,0,2,0,1,1,4,4.0,33.0,1.0,1.0,7.0,9.0,188309.0,12.0,7.0,1.0,4.0,4.0,19.0,12.0,19.0,69.0,3.0,2.0,4.0,5.0,42.0,5.0,21.0,19.0,126.0,0.5731305301618038,0.838099375525651,47.0,0.0,5538.5,3.5,828.0,3.5,35.0,8.65
16.0,39.0,1,2,0,4,3,0,5.0,26.0,0.0,9.0,8.0,3.0,82764.0,28.0,7.0,1.0,3.0,3.0,7.0,10.0,19.0,27.0,2.0,4.0,1.0,5.0,98.0,5.0,6.0,5.0,271.0,1.5860983474892203,-0.0066151079000728,47.0,0.0,3065.3333333333335,8.0,270.0,3.0,38.0,7.35
17.0,19.0,1,1,2,4,1,1,4.0,24.0,6.0,0.0,6.0,10.0,79983.0,13.0,4.0,2.0,3.0,8.0,6.0,13.0,10.0,74.0,3.0,4.0,4.0,5.0,36.0,5.0,22.0,9.0,141.0,0.1068133990497213,0.168794649793811,54.0,0.0,3199.32,0.8571428571428571,962.0,4.0,27.0,9.0
18.0,41.0,1,2,0,1,4,1,4.0,18.0,15.0,2.0,7.0,14.0,110515.0,11.0,8.0,3.0,1.0,14.0,18.0,28.0,11.0,68.0,2.0,1.0,1.0,2.0,42.0,3.0,21.0,10.0,251.0,-1.9955589293703664,0.7920173963649306,45.0,0.0,5816.578947368421,0.4375,1904.0,1.5,43.0,14.200000000000001
19.0,47.0,1,2,0,3,2,2,5.0,6.0,12.0,2.0,8.0,2.0,174886.0,9.0,6.0,1.0,5.0,1.0,8.0,26.0,17.0,79.0,3.0,5.0,2.0,2.0,22.0,5.0,5.0,13.0,195.0,-1.9332041248468048,0.7129905350691206,2.0,0.0,24983.714285714286,0.6153846153846154,2054.0,3.0,18.0,13.55
20.0,55.0,0,1,3,5,2,2,5.0,11.0,17.0,6.0,9.0,3.0,138558.0,8.0,25.0,1.0,2.0,2.0,19.0,9.0,15.0,50.0,5.0,1.0,1.0,5.0,77.0,5.0,19.0,19.0,207.0,1.0470333083931729,-1.1284542233694546,13.0,0.0,11546.5,0.5,450.0,3.0,29.0,5.4
21.0,19.0,0,1,2,2,0,0,1.0,23.0,6.0,1.0,9.0,1.0,96395.0,26.0,38.0,3.0,2.0,10.0,19.0,19.0,18.0,37.0,3.0,4.0,1.0,4.0,20.0,1.0,23.0,2.0,140.0,0.174882522190368,-0.2418769694458843,8.0,0.0,4016.4583333333335,1.2857142857142858,703.0,3.0,55.0,8.75
22.0,38.0,1,2,3,0,0,3,2.0,38.0,17.0,6.0,9.0,9.0,162681.0,7.0,20.0,0.0,2.0,3.0,16.0,24.0,19.0,82.0,5.0,4.0,5.0,2.0,21.0,2.0,6.0,12.0,138.0,-0.4976938509905627,1.2166049522138285,29.0,0.0,4171.307692307692,0.5,1968.0,4.0,26.0,11.5
23.0,50.0,1,2,2,2,3,0,3.0,4.0,6.0,0.0,3.0,8.0,118255.0,12.0,19.0,0.0,4.0,1.0,5.0,9.0,12.0,58.0,3.0,3.0,5.0,5.0,11.0,1.0,4.0,7.0,213.0,-1.4586712173754677,0.0667491963577635,41.0,0.0,23651.0,0.42857142857142855,522.0,4.0,18.0,7.800000000000001
24.0,29.0,0,2,0,5,3,1,3.0,0.0,3.0,9.0,2.0,5.0,182901.0,8.0,35.0,0.0,4.0,12.0,15.0,16.0,0.0,70.0,2.0,4.0,3.0,3.0,52.0,3.0,7.0,15.0,215.0,0.4363766534291266,-0.5745189086539885,13.0,0.0,182901.0,0.5,1120.0,3.0,35.0,12.1
25.0,39.0,1,0,0,3,3,2,3.0,6.0,16.0,3.0,3.0,0.0,74190.0,15.0,5.0,0.0,1.0,14.0,7.0,29.0,11.0,96.0,3.0,2.0,3.0,4.0,68.0,5.0,6.0,4.0,305.0,0.281738713399511,0.7308996506021651,55.0,0.0,10598.57142857143,0.17647058823529413,2784.0,3.0,36.0,12.7
26.0,42.0,0,1,0,1,3,0,1.0,25.0,18.0,7.0,9.0,3.0,172095.0,14.0,15.0,0.0,2.0,0.0,9.0,21.0,3.0,17.0,3.0,5.0,5.0,4.0,19.0,5.0,6.0,9.0,140.0,-0.0265603239540101,0.2708375234603256,18.0,0.0,6619.038461538462,0.47368421052631576,357.0,4.25,23.0,7.949999999999999
27.0,44.0,1,1,3,2,2,2,4.0,23.0,4.0,6.0,2.0,10.0,54200.0,6.0,34.0,1.0,3.0,11.0,9.0,14.0,3.0,46.0,1.0,4.0,3.0,1.0,27.0,4.0,11.0,8.0,151.0,-1.9082793838344336,0.4314438270319988,43.0,0.0,2258.3333333333335,0.4,644.0,2.25,26.0,13.7
28.0,59.0,0,0,0,4,4,0,5.0,16.0,6.0,4.0,1.0,4.0,183940.0,25.0,33.0,2.0,5.0,11.0,8.0,16.0,15.0,67.0,3.0,4.0,1.0,5.0,89.0,5.0,10.0,1.0,221.0,0.9933130117496042,-0.2942009974038132,26.0,0.0,10820.0,0.14285714285714285,1072.0,3.25,44.0,8.95
29.0,45.0,1,1,0,0,3,0,2.0,3.0,5.0,6.0,0.0,1.0,160965.0,18.0,0.0,2.0,4.0,9.0,4.0,10.0,16.0,96.0,2.0,3.0,4.0,4.0,27.0,2.0,12.0,16.0,174.0,0.0573970650679185,0.2479400086861954,37.0,0.0,40241.25,0.0,960.0,3.25,31.0,11.8
30.0,33.0,1,2,0,0,1,4,3.0,15.0,4.0,8.0,3.0,6.0,170200.0,12.0,24.0,2.0,3.0,4.0,2.0,2.0,15.0,19.0,5.0,4.0,5.0,2.0,100.0,3.0,18.0,15.0,300.0,2.391484834241582,0.5591789449623359,55.0,0.0,10637.5,0.6,38.0,4.0,18.0,6.15
31.0,32.0,0,1,0,3,3,0,2.0,35.0,12.0,0.0,4.0,3.0,125465.0,10.0,38.0,0.0,1.0,7.0,18.0,25.0,9.0,31.0,4.0,3.0,2.0,5.0,51.0,2.0,22.0,11.0,138.0,1.1116708247728233,0.5457228020359381,10.0,0.0,3485.1388888888887,0.3076923076923077,775.0,3.5,35.0,7.05
