EmployeeID,Age,Gender,MaritalStatus,EducationLevel,EducationField,Department,JobRole,JobLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome,PercentSalaryHike,BonusPercent,StockOptionLevel,PerformanceRating,TrainingTimesLastYear,CertificationCount,AbsenceDays,LateMarks,OvertimeHours,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,EmployeeEngagementScore,ManagerRating,TeamSize,ProjectsHandled,AverageMonthlyHours,PerformanceTrend3Months,PerformanceTrend6Months,SalaryGrowthLast3Years,Attrition
1,56,Male,Single,High School,IT,IT,Executive,4,1,0,1,0,2,119881.0,8,16,2,4,10,6,25,15,40,3.0,1,3,1,23,5.0,23,16,259,0.7406359316246103,0.7192573280171047,15,0
2,46,Female,Single,Bachelor,Finance,HR,Analyst,2,9,1,4,4,5,136222.0,19,2,1,1,0,3,3,6,50,,1,4,4,53,3.0,8,15,133,1.8574996771781012,-0.1987294015603459,5,1
3,32,Male,Married,Master,HR,Finance,Engineer,3,30,1,8,7,4,,18,32,3,1,4,1,2,19,53,2.0,3,4,5,26,4.0,4,18,146,-0.4673472344635087,0.7134268680549329,21,0
4,25,Male,Single,Bachelor,IT,IT,Engineer,5,7,8,8,7,2,134358.0,21,34,2,4,8,14,27,3,61,1.0,4,4,5,42,2.0,24,4,243,-0.11285394272209737,1.2512705966877808,53,0
5,38,Female,Single,Master,HR,Sales,Manager,3,38,0,7,8,1,180847.0,9,29,1,4,4,17,9,13,82,1.0,1,3,5,93,3.0,15,13,313,-1.4297882731802378,-0.6443138022945785,14,0
6,56,Female,Single,High School,Business,IT,Consultant,3,27,10,4,4,2,183034.0,17,39,3,4,7,3,13,5,25,1.0,5,5,1,68,3.0,3,17,182,1.6092909186771818,0.022297186737166075,11,1
7,36,Female,Single,Master,IT,IT,Analyst,1,30,6,6,7,13,140283.0,11,11,1,4,4,0,21,2,46,5.0,1,2,2,56,4.0,15,11,203,0.7906982212672042,1.2326999509407028,43,1
8,40,Male,Married,PhD,Engineering,HR,Executive,2,12,5,0,9,9,88347.0,5,33,3,2,4,15,10,6,90,2.0,1,4,5,85,3.0,6,11,230,-0.08958782080170614,0.7577034111466636,31,0
9,28,Male,Single,High School,Business,Finance,Manager,5,6,16,3,4,3,88364.0,17,6,0,4,9,6,22,9,78,2.0,1,3,4,79,3.0,13,19,214,-1.065504440864999,0.098352364474557,26,0
10,28,Female,Married,PhD,Business,Sales,Engineer,5,0,5,6,6,8,43008.0,8,28,1,5,10,15,14,19,62,3.0,3,5,4,92,2.0,21,10,128,0.43992677376792866,1.1427594293729693,37,0
11,41,Male,Married,Bachelor,Marketing,Finance,Executive,5,25,15,2,7,5,142960.0,17,23,0,5,6,12,1,4,18,2.0,2,2,5,33,4.0,5,13,144,-2.539409463443932,0.14174940609642975,50,0
12,53,Male,Divorced,Master,Finance,Finance,Manager,4,15,0,3,7,14,125135.0,17,30,0,2,2,12,4,1,31,1.0,3,2,4,10,1.0,7,13,284,0.6601237342704803,0.11538189518090072,23,0
13,57,Male,Single,Bachelor,Business,Sales,Manager,2,11,3,0,1,5,113295.0,29,1,1,3,7,18,18,7,99,5.0,5,2,5,72,1.0,14,15,296,0.10296394998341993,0.9699456348473878,15,0
14,41,Female,Single,Bachelor,IT,Sales,Consultant,1,15,17,7,0,0,36596.0,7,10,0,2,13,11,2,14,85,5.0,1,2,3,1,2.0,24,8,263,-1.2837643054244086,0.6242761324319059,57,0
15,20,Female,Single,Bachelor,Engineering,HR,Manager,4,33,1,1,7,9,188309.0,12,7,1,4,4,19,12,19,69,,2,4,5,42,5.0,21,19,126,0.5731305301618038,0.838099375525651,47,0
16,39,Male,Single,Bachelor,IT,Operations,Analyst,5,26,0,9,8,3,82764.0,28,7,1,3,3,7,10,19,27,2.0,4,1,5,98,5.0,6,5,271,1.5860983474892203,-0.006615107900072834,47,0
17,19,Male,Married,Master,IT,HR,Consultant,4,24,6,0,6,10,79983.0,13,4,2,3,8,6,13,10,74,3.0,4,4,5,36,5.0,22,9,141,0.10681339904972133,0.168794649793811,54,0
18,41,Male,Single,Bachelor,Engineering,Sales,Consultant,4,18,15,2,7,14,,11,8,3,1,14,18,28,11,68,2.0,1,1,2,42,3.0,21,10,251,-1.9955589293703666,0.7920173963649306,45,0
