Client_ID,Client_Type,Region,Product_Count,Monthly_Fee,Trading_Volumes,Usage_Hours,Support_Tickets,Contract_Length,Tenure_Months,Satisfaction_Score,Competitor_Offer,Revenue,Renewal_Probability,Churn_Risk
C001,Broker,Americas,1,3306,21358,222,5,58,29,6,22,3919.59412706367,0.46,0
C002,Asset Manager,Americas,7,1037,4267,212,0,16,40,2,2,892.7436890196926,0.54,0
C003,Bank,APAC,2,2341,83745,261,4,14,41,5,9,2542.132280258954,0.98,0
C004,Broker,Americas,1,5516,90588,238,8,39,11,10,1,5851.824901887947,0.48,0
C005,Broker,APAC,3,2955,39513,173,11,17,23,4,29,2901.300701708235,0.69,1
C006,Asset Manager,EMEA,4,1024,158164,236,13,40,1,9,26,1337.7475374919777,0.76,0
C007,Bank,Americas,1,3450,12338,156,1,40,46,6,22,3957.5399002152317,0.81,0
C008,Bank,EMEA,1,4631,132484,29,16,6,21,2,12,3967.5275181078227,0.73,0
C009,Broker,APAC,2,5280,8543,56,13,45,36,1,12,5037.797114406503,0.41,0
C010,Hedge Fund,Americas,7,4615,106891,242,12,27,54,5,17,5899.267436002325,0.59,0
C011,Broker,APAC,7,2868,165568,23,8,34,57,9,2,2447.240313512727,0.71,0
C012,Broker,EMEA,6,4347,61692,152,14,13,1,6,26,6067.737518758999,0.45,0
C013,Broker,APAC,2,4995,45425,10,14,16,63,10,6,5727.279831704362,0.61,0
C014,Broker,Americas,3,3201,39756,63,10,46,54,7,13,3637.6503438158206,0.42,0
C015,Asset Manager,Americas,7,1471,19888,268,15,42,55,5,19,1786.8022958639053,0.45,0
C016,Bank,EMEA,4,1666,167807,153,16,19,40,10,28,2294.5429424619088,0.63,0
C017,Asset Manager,APAC,2,5711,48295,21,3,35,15,6,29,5959.236870430597,0.48,0
C018,Asset Manager,Americas,1,5429,115352,233,0,40,21,5,16,6919.864784570209,0.73,0
C019,Asset Manager,EMEA,4,3274,84042,281,7,26,47,9,28,3915.7445150855538,0.81,0
C020,Broker,Americas,4,2482,86999,165,16,42,53,6,29,2449.5349165923526,0.87,0
C021,Hedge Fund,Americas,1,1353,18955,17,2,10,9,8,20,1914.55046007697,0.52,0
C022,Bank,APAC,2,4646,38841,131,19,24,52,2,11,6310.188907470052,0.5,0
C023,Hedge Fund,Americas,1,4236,71640,173,14,19,57,9,24,5341.241380129163,0.46,0
C024,Asset Manager,APAC,6,4269,197582,99,14,31,26,5,15,5956.9933810523235,0.78,0
C025,Asset Manager,Americas,4,1074,166983,145,13,9,41,7,23,1511.2317802815796,0.82,0
C026,Hedge Fund,EMEA,5,3761,191103,195,13,30,35,10,11,4873.707208797672,0.42,0
C027,Hedge Fund,Americas,5,1648,139429,187,1,50,63,1,14,2283.978575600332,0.95,0
C028,Hedge Fund,APAC,3,2215,164551,37,12,47,25,10,24,2853.4295013182245,0.43,0
C029,Asset Manager,APAC,7,5277,62476,229,13,30,38,5,9,6733.971996805373,0.72,0
C030,Asset Manager,EMEA,1,5433,45811,50,18,23,2,10,29,6699.0409324901675,0.82,0
C031,Bank,Americas,1,4354,168280,237,6,45,7,2,24,5777.329774043778,0.91,1
C032,Bank,Americas,3,5673,152222,201,2,13,34,6,6,5168.2367336293255,0.82,0
C033,Asset Manager,EMEA,3,2991,72180,154,14,44,17,1,19,4237.079108534796,0.87,1
C034,Hedge Fund,Americas,3,3160,175358,210,13,45,43,3,4,4456.517883372453,0.6,0
C035,Hedge Fund,Americas,4,3624,113856,221,10,19,59,5,0,2973.39450760207,0.88,0
C036,Bank,APAC,6,3551,69450,229,14,37,51,4,29,4893.53269687883,0.45,1
C037,Asset Manager,Americas,1,504,153424,249,12,56,54,3,16,448.6652892446315,0.93,1
C038,Bank,Americas,4,5722,187141,55,17,43,24,10,2,5919.885058849567,0.72,0
C039,Bank,EMEA,3,5815,112888,44,5,38,25,5,12,7678.45035723499,0.88,0
C040,Broker,EMEA,1,5369,111448,262,2,28,71,8,13,4899.383917318357,0.67,0
C041,Broker,APAC,4,1376,15397,91,18,20,52,4,23,1888.6658376314806,0.78,1
C042,Broker,Americas,6,1491,173627,265,14,38,70,1,29,2061.2984415344954,0.71,1
C043,Hedge Fund,Americas,4,4642,179031,206,4,30,33,7,17,5362.565654082461,0.83,0
C044,Asset Manager,Americas,6,4864,132800,19,9,22,49,8,3,3912.942616021475,0.45,0
C045,Asset Manager,APAC,3,4965,182589,295,6,38,29,3,17,4969.60103184941,0.44,1
C046,Asset Manager,APAC,6,1135,120180,251,16,52,63,6,29,1398.1484366495274,0.55,0
C047,Asset Manager,EMEA,1,5725,67234,260,6,7,22,2,4,8512.103608444899,0.49,0
C048,Broker,APAC,3,2193,40954,14,11,19,26,7,24,2724.296945323288,0.91,0
C049,Hedge Fund,Americas,1,2182,179352,128,16,58,28,8,15,2142.4239897173975,0.53,0
