Client_ID,Current_Price,Revenue,Usage_Hours,Competitor_Price,Elasticity_Score,Churn
C1,1360,4072,121,1773,1.9840179768535207,0
C2,4272,7530,45,4311,1.9444249195742733,0
C3,3592,1504,294,3125,1.8903992403790664,1
C4,966,2214,197,2882,1.5893010858585803,0
C5,4926,2531,91,1941,0.7741985844880916,1
C6,3944,8576,11,3479,0.883048767499266,0
C7,3671,1823,206,2297,1.1442704830659565,1
C8,3419,1928,20,4890,1.6780154671691958,0
C9,630,6029,243,4509,0.23055438178470875,0
C10,2185,1133,204,1894,0.9061640831812874,0
C11,1269,3105,128,4781,0.2569735605726105,0
C12,2891,4627,29,1769,1.077849414489672,0
C13,2933,7316,270,4214,1.8079115656118472,1
C14,1684,2852,265,1029,1.5867213566714822,0
C15,3885,5910,231,4123,0.5329005933319089,0
C16,4617,5175,235,3458,1.9543826142377057,0
C17,3404,6348,62,3414,1.367965756288214,1
C18,974,7190,289,4091,0.11981262885506583,0
C19,1582,2256,90,2647,0.585285620901917,0
C20,3058,4376,211,3869,0.5953552698478414,0
C21,2547,6645,167,1439,0.23158318194313388,0
C22,3247,4486,129,1025,1.923670384344265,0
C23,1475,4584,68,501,1.0086850596942551,1
C24,2306,9053,224,874,1.8020477350065758,0
C25,689,4330,137,2840,0.7122094565447938,1
C26,3234,3703,233,4505,0.33794378382237156,0
C27,3505,9662,218,3552,1.0012386088218064,0
C28,2399,9120,124,2865,0.3165176059572026,1
C29,1767,8114,218,2025,1.0234294556573258,0
C30,2028,2353,23,4976,1.8485646443168746,1
C31,3702,6063,18,2146,1.0894594694850042,0
C32,4056,9549,49,513,1.2713494811006587,0
C33,4390,8575,246,2778,0.39761303025023575,1
C34,1146,1667,290,3655,0.18309768917194202,0
C35,3388,5468,210,629,0.31053512814163337,0
C36,2935,7819,255,4314,1.2372099938002947,0
C37,1100,4719,287,3716,0.28052222808537886,0
C38,2863,3745,244,3438,0.8143864908884916,1
C39,2561,8483,13,4428,1.1451746868704964,0
C40,741,1539,163,2540,0.8384403173967093,0
C41,2541,5964,38,527,0.41099922278407286,0
C42,3324,5835,118,2613,0.6202034842768024,0
C43,3112,4775,107,1752,1.8638033124122964,0
C44,1863,7042,224,4856,1.3843663236140753,0
C45,1978,8102,84,2546,1.0424908934917845,1
